Primo en posición,Tiempo de ejecución (s)
1,28.57598090171814
2,26.78431725502014
3,26.47473406791687
4,28.04739022254944
5,28.67819333076477
6,28.482986450195312
7,28.227949619293213
8,28.87099575996399
9,29.117761850357056
10,27.823893547058105
11,28.3487491607666
12,26.812095880508423
13,28.481961727142334
14,691.4674162864685
15,28.02034878730774
16,28.701979875564575
17,28.705100059509277
18,27.677937984466553
19,26.857475996017456
20,26.682425260543823
21,27.02934956550598
22,28.938039779663086
23,26.55432939529419
24,29.54091501235962
25,27.830896377563477
26,28.696813583374023
27,26.199324369430542
28,27.874597549438477
29,27.196877241134644
30,28.323167085647583
